Course,Date,Tee,Front/Back,Score
Morley Hayes,12/05/12,White,Full,124
Morley Hayes,01/05/14,White,Full,105
Bransford,01/01/20,Yellow,Full,118
Lickey Hills,13/06/21,Yellow,Full,114
Harborne Church Farm,22/06/21,Yellow,Front,54
Harborne Church Farm,24/06/21,Yellow,Back,48
Harborne Church Farm,30/06/21,Yellow,Full,105
Harborne Church Farm,14/07/21,Yellow,Full,119
Harborne Church Farm,20/07/21,Yellow,Full,96
Harborne Church Farm,22/07/21,Yellow,Front,55
Harborne Church Farm,29/07/21,Yellow,Full,97
